measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,All causes,Rate,1992,1267.6920687195463,1270.5664899474912,1264.8019131340259
Deaths,Russian Federation,Female,All ages,All causes,Rate,1992,1091.065779542529,1094.6892434555073,1087.1241950015137
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1992,47.49505504984491,48.71350661537277,46.85004030080815
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1992,12.789005084014738,13.291735631303569,12.513424603691046
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1992,110.07347305071933,111.51708214742833,109.16656107504302
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1992,25.78657460978183,26.334724232321975,25.35148262660595
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1990,82.32619680426255,84.23492641010793,80.20414461035847
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1990,21.032356547244195,21.77446488269883,20.567334853286653
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1990,73.3883740964403,74.90179491310384,71.04276059389267
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1990,20.57159116731726,21.868542910221976,19.834412679610463
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1990,212.3646107377853,216.308084221597,206.90855832876244
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1990,156.21484291262934,159.07681049045928,152.13618554543262
Deaths,Russian Federation,Male,All ages,All causes,Rate,1990,1117.9897361976648,1121.014721325575,1115.1713543047767
Deaths,Russian Federation,Female,All ages,All causes,Rate,1990,1034.015289776812,1037.8673339650077,1029.9871232421062
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1991,76.97081589872161,78.64335928569265,74.43498137839799
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1991,21.24783106448929,22.452799021389428,20.56033439629371
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1990,45.04616814362448,49.83175426349586,43.66101965001936
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1990,12.18422781335862,13.30295492366669,11.788444666964535
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1991,212.98350570734428,217.54298053009322,206.0095867975991
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1991,156.7369922307788,159.61323559600828,152.70601851011796
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1993,144.9557275482621,146.43467302588533,142.71141767530324
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1993,32.93850777969982,33.492889626377945,31.8617235174172
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1993,114.02168589088777,119.13917176133936,112.38919612680121
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1993,28.30328954723946,29.262351570005535,27.674807825149156
Deaths,Russian Federation,Male,All ages,All causes,Rate,1991,1142.9220031103398,1146.0501087353252,1139.8836081642696
Deaths,Russian Federation,Female,All ages,All causes,Rate,1991,1047.7788351068564,1051.457649193709,1043.9094649719232
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1994,56.70070603965062,58.754366811258244,49.5957648395431
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1994,15.432048875768919,15.86234566324564,14.224556890686369
