measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1990,54.256446804828954,56.34059309229046,52.59095301674822
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1990,27.993106620291627,29.612169301378344,27.131933797482393
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1990,200.76073904432738,204.24496672676048,198.12390281319227
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1990,53.78817552792007,55.797454832061504,52.4256968650877
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1990,862.972550348506,866.8253043930721,858.5479617933846
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1990,952.2340076286016,956.5320760628263,947.5661937858314
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1990,212.3646107377853,216.308084221597,206.90855832876244
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1990,156.21484291262934,159.07681049045928,152.13618554543262
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1992,963.7944248548132,966.9924703146698,959.974931961175
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1992,1003.3001293835541,1007.0650050392202,998.9030304753139
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1991,212.98350570734428,217.54298053009322,206.0095867975991
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1991,156.7369922307788,159.61323559600828,152.70601851011796
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1992,57.8022986310602,59.52429167521331,56.817229890474216
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1992,26.07394068992057,27.465838378164957,25.293631537717545
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1992,246.09534523367194,248.2446579840898,244.33707089166487
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1992,61.69170946905489,63.42041154972979,60.514807078160594
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1993,267.93850982834425,279.51156352896083,263.21669105137966
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1993,179.0843386523579,183.54610178304733,174.45356994562215
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1991,53.95111988785807,55.93958542286232,52.24996120530563
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1991,27.14787250258154,28.63021156849666,26.29467954281504
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1991,210.47121526947765,213.80220441412456,207.8746039571349
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1991,55.559058853324004,57.42084351384989,54.25809524091009
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1994,1285.9937829739533,1294.0989238133855,1276.83492454572
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1994,1216.7361897765463,1221.1888401957708,1212.6845006896579
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1994,84.52685107108778,91.0549957093199,82.50093981609817
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1994,30.028607273478134,31.462991080454298,29.011460611698528
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1994,354.26516902741474,358.336702893973,345.85528167405937
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1994,84.06915093726677,85.35940972232272,81.34846192896089
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1994,285.86384883098196,304.6384391020959,279.193195428748
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1994,187.97522629035134,193.08682698044686,182.37887035576614
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1991,878.4996679530036,882.1517095203947,874.0401625977994
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1991,965.0719037509488,969.4150730549765,960.1961734389218
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1993,1163.2972596584932,1168.6330844828465,1158.4741917899273
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1993,1135.53413140626,1139.6067001765996,1131.0155770867552
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1992,228.90928524815692,233.15081032711623,224.98048873970114
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1992,161.62124339090062,164.26845252183588,157.62486294096533
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1993,72.40339670952419,75.69324637682605,70.9789227945447
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1993,28.500124276808283,29.98384589792792,27.655511021801917
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1993,313.24675943744444,315.6386626145968,307.926136220961
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1993,75.81166454937075,77.4216347104697,74.06938624728099
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1995,266.26679956964017,276.4544474946571,261.95707675513785
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1995,180.31734749194965,184.37668548851104,175.78510147470098
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1995,83.77266776991586,87.82975705971533,82.12067153944442
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1995,29.06801181348002,30.38840473265886,28.29699325352995
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1995,341.1883983898897,344.77997352752277,334.85155560972413
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1995,81.45584334678222,82.61999412379033,80.02105956027088
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1996,78.7893844348336,80.30600640708255,77.6146419451312
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1996,27.167356297477472,28.314924623523268,26.458995798979224
Deaths,Russian Federation,Male,All ages,Injuries,Rate,1996,304.69286143729147,306.42352084313785,302.65642430636785
Deaths,Russian Federation,Female,All ages,Injuries,Rate,1996,75.08037639772478,76.35108052117403,74.01001526513845
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,1996,1150.7671157293769,1154.1166685052974,1147.2354653144525
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1996,1133.6976347236896,1137.7854089513776,1129.7008489229079
